alpha,score
[1 1 1],0.07148768987703792
[1 1 2],0.05824258037986235
[1 1 3],0.026284008920372585
[1 1 5],0.05357470812016272
[ 1  1 10],0.042069335328594616
[1 2 3],0.05937455361697791
[1 3 5],0.013199396268572907
[ 1  5 10],0.0506713600652995
[1 2 2],0.047569635751453974
[1 3 3],0.08890317314559744
[1 5 5],0.0570349964289359
[ 1 10 10],0.024444620678780497
